Aridity,Elevation,Replicate,Total.Links,Negative.links,Positive.links,Negative/positive.links.ratio,Connectance,Links.per.species,Cluster.coefficient,Linkage.density,Number.of.plant.species,Number.of.microbial.species,Robustness.at.the.plant.level,Robustness.at.the.microbial.level,Partner.diversity.at.the.plant.level,Partner.diversity.at.the.microbial.level,Group
0.936,4400,R1,343,132,211,0.625592417,0.210171569,1.23381295,0.172794118,34.90379009,6,272,0.554814335,0.98050785,3.949536169,0.16718229,Above
0.936,4400,R2,162,48,114,0.421052632,0.326612903,1.265625,0.330645161,21.72222222,4,124,0.568091398,0.980409225,3.682700197,0.205456021,Above
0.936,4400,R3,525,218,307,0.71009772,0.341796875,2.003816794,0.380859375,50.52761905,6,256,0.652224281,0.98767193,4.377634708,0.538463814,Above
0.936,4400,R4,185,101,84,1.2,0.31,1.23,0.31,26.15,4,147,0.55,0.98,3.78,0.17,Above
0.936,4400,R5,279,118,161,0.732919255,0.197033898,1.152892562,0.199152542,26.60215054,6,236,0.535932949,0.979316409,3.773759793,0.113604767,Above
0.936,4400,R6,157,68,89,0.764044944,0.370283019,1.427272727,0.344339623,22.33757962,4,106,0.593050314,0.976414209,3.6241058,0.298213578,Above
0.936,4400,R7,135,48,87,0.551724138,0.283613445,1.097560976,0.268907563,18.36296296,4,119,0.53859944,0.972960703,3.494747257,0.090778763,Above
0.865,4500,R1,276,125,151,0.82781457,0.219047619,1.073929961,0.186507937,38.68115942,5,252,0.521055529,0.979439981,3.84468054,0.066014017,Above
0.865,4500,R2,308,138,170,0.811764706,0.243478261,1.19379845,0.209486166,34.24675325,5,253,0.549450389,0.984720759,4.084151078,0.146135837,Above
0.865,4500,R3,236,132,104,1.269230769,0.215525114,1.053571429,0.219178082,24.82627119,5,219,0.51982097,0.980514491,3.839217381,0.053805946,Above
0.865,4500,R4,257,117,140,0.84,0.27,1.08,0.23,37.25,4,234,0.52,0.98,4.1,0.07,Above
0.865,4500,R5,433,235,198,1.186868687,0.248850575,1.226628895,0.304597701,48.68360277,5,348,0.555510393,0.988672267,4.391445564,0.163516482,Above
0.865,4500,R6,212,107,105,1.019047619,0.216326531,1.054726368,0.178571429,24.16037736,5,196,0.515753171,0.975743142,3.6987644,0.056583443,Above
0.865,4500,R7,397,184,213,0.863849765,0.244307692,1.203030303,0.218461538,46.62720403,5,325,0.538344943,0.985722008,4.292566303,0.149132882,Above
0.784,4600,R1,485,240,245,0.979591837,0.227699531,1.343490305,0.170422535,57.91752577,6,355,0.572696961,0.983058943,4.181456163,0.239388654,Above
0.784,4600,R2,379,207,172,1.203488372,0.220862471,1.297945205,0.208041958,36.06068602,6,286,0.556357931,0.983811847,4.087837102,0.209482135,Above
0.784,4600,R3,384,195,189,1.031746032,0.234432234,1.376344086,0.175824176,41.73177083,6,273,0.561428898,0.983890033,4.033278108,0.251651242,Above
0.784,4600,R4,841,431,410,1.05,0.3,1.77,0.25,86.87,6,469,0.62,0.99,4.83,0.45,Above
0.784,4600,R5,634,308,327,0.941896024,0.266162888,1.573200993,0.238035264,69.70031546,6,397,0.608444652,0.988777966,4.510068951,0.376802381,Above
0.784,4600,R6,452,208,244,0.852459016,0.297368421,1.462783172,0.332236842,59.53982301,5,304,0.606024096,0.982862784,4.294054993,0.315687813,Above
0.784,4600,R7,358,178,180,0.988888889,0.261313869,1.283154122,0.248175182,38.54189944,5,274,0.556697437,0.986768749,4.241231515,0.198848526,Above
0.784,4600,R8,382,185,197,0.939086294,0.206709957,1.21656051,0.173701299,38.57853403,6,308,0.547004098,0.983263985,4.070903439,0.157746655,Above
0.694,4700,R1,387,210,177,1.186440678,0.170334507,1.325342466,0.133802817,31.29198966,8,284,0.564622976,0.977267537,3.768884464,0.226016045,Above
0.694,4700,R2,512,222,290,0.765517241,0.16489533,1.446327684,0.153623188,31.51171875,9,345,0.582223914,0.9830862,4.007378144,0.309975846,Above
0.694,4700,R3,425,209,216,0.967592593,0.156364974,1.366559486,0.145695364,27.09176471,9,302,0.57229354,0.978403458,3.807414471,0.257150948,Above
0.694,4700,R4,494,233,261,0.89,0.16,1.41,0.13,32.74,9,341,0.57,0.98,3.93,0.27,Above
0.694,4700,R5,292,117,175,0.668571429,0.188752424,1.280701754,0.185520362,22.88356164,7,221,0.557874136,0.977552616,3.699227176,0.206531592,Above
0.694,4700,R6,489,233,256,0.91015625,0.150092081,1.318059299,0.140883978,30.98773006,9,362,0.567410586,0.980970667,3.927691074,0.231255417,Above
0.694,4700,R7,293,148,145,1.020689655,0.175870348,1.195918367,0.172268908,23.05119454,7,238,0.5433463,0.97817487,3.700448594,0.148807451,Above
0.694,4700,R8,495,254,241,1.053941909,0.203787567,1.398305085,0.170028818,45.94141414,7,347,0.582909087,0.984850824,4.151676612,0.280863462,Above
0.586,4800,R1,474,233,241,0.966804979,0.265546218,1.809160305,0.270588235,39.67932489,7,255,0.618607677,0.984446298,4.153360902,0.445922273,Below
0.586,4800,R2,411,200,211,0.947867299,0.179006969,1.226865672,0.131097561,38,7,328,0.544952697,0.97946419,3.940429971,0.166629254,Below
0.586,4800,R3,530,257,273,0.941391941,0.294608116,2.007575758,0.276264591,51.48867925,7,257,0.638563835,0.979750285,4.104503306,0.558430494,Below
0.586,4800,R4,650,332,318,1.04,0.32,1.91,0.4,66.48,6,334,0.65,0.99,4.51,0.52,Below
0.586,4800,R5,568,283,285,0.992982456,0.210682493,1.646376812,0.224035608,39.38204225,8,337,0.600092812,0.986064801,4.21513629,0.395886416,Below
0.586,4800,R6,506,243,263,0.923954373,0.223794781,1.533333333,0.19504644,47.41699605,7,323,0.593205185,0.984823505,4.143171102,0.340605228,Below
0.586,4800,R7,670,352,318,1.106918239,0.260093168,1.786666667,0.239130435,52.15074627,7,368,0.61656787,0.990471055,4.525968861,0.450473662,Below
0.586,4800,R8,404,192,212,0.905660377,0.217907228,1.282539683,0.218446602,36.08415842,6,309,0.556157583,0.986441645,4.183377347,0.204724413,Below
0.452,4900,R1,516,278,238,1.168067227,0.228116711,1.347258486,0.136604775,74.85077519,6,377,0.578322822,0.978460598,4.090664861,0.243354231,Below
0.452,4900,R2,751,403,348,1.158045977,0.270533141,2.115492958,0.270893372,49.85219707,8,347,0.644219798,0.990072946,4.528063395,0.567277092,Below
0.452,4900,R3,560,282,278,1.014388489,0.191846523,1.320754717,0.122302158,63.4875,7,417,0.562710576,0.982028431,4.123788326,0.224997569,Below
0.452,4900,R4,918,482,436,1.11,0.32,1.87,0.32,100.5,6,484,0.63,0.99,4.81,0.5,Below
0.452,4900,R5,442,249,193,1.29015544,0.223910841,1.319402985,0.217325228,41.239819,6,329,0.571511518,0.987139132,4.247332554,0.222848794,Below
0.452,4900,R6,855,457,398,1.148241206,0.243451025,1.912751678,0.21070615,70.14269006,8,439,0.631785658,0.988824913,4.525167632,0.5011511,Below
0.452,4900,R7,672,335,337,0.994065282,0.277456647,1.90368272,0.248554913,53.56696429,7,346,0.647612701,0.990109109,4.518102261,0.531797698,Below
0.452,4900,R8,685,382,303,1.260726073,0.313644689,1.851351351,0.31043956,64.1649635,6,364,0.639703454,0.991689271,4.672912236,0.513491149,Below
0.308,5000,R1,985,493,492,1.00203252,0.228009259,2.228506787,0.21412037,66.36243655,10,432,0.664630003,0.98599366,4.387867697,0.631110118,Below
0.308,5000,R2,660,339,321,1.056074766,0.274086379,1.88034188,0.308139535,53.86666667,7,344,0.627765118,0.989723329,4.474533817,0.47689796,Below
0.308,5000,R3,1221,614,607,1.011532125,0.263942931,2.334608031,0.200389105,105.2948403,9,514,0.677610805,0.987870985,4.623519689,0.68791624,Below
0.308,5000,R4,1327,678,649,1.04,0.4,2.76,0.45,108.68,7,474,0.71,0.99,5.16,0.84,Below
0.308,5000,R5,747,350,397,0.881612091,0.20906801,1.839901478,0.19395466,48.93975904,9,397,0.616221521,0.98688404,4.332803882,0.472009375,Below
0.308,5000,R6,682,356,326,1.09202454,0.256777108,2.005882353,0.30873494,54.12903226,8,332,0.637775624,0.983708478,4.282784001,0.5321359,Below
0.308,5000,R7,829,395,434,0.910138249,0.288850174,1.988009592,0.234146341,79.15922799,7,410,0.658717343,0.989823529,4.58322637,0.575202007,Below
0.159,5100,R1,645,309,336,0.919642857,0.136047247,1.459276018,0.136890951,34.4744186,11,431,0.579594556,0.982243409,3.991707524,0.299564295,Below
0.159,5100,R2,673,314,359,0.874651811,0.131342701,1.533029613,0.104215457,42.48736999,12,427,0.582265101,0.974193613,3.824817318,0.34699792,Below
0.159,5100,R3,627,318,309,1.029126214,0.133489461,1.431506849,0.133489461,35.41945774,11,427,0.569122043,0.976444134,3.906749174,0.295903786,Below
0.159,5100,R4,618,298,320,0.93,0.14,1.46,0.11,37.41,11,413,0.57,0.98,3.89,0.31,Below
0.159,5100,R6,679,350,329,1.063829787,0.14558319,1.56091954,0.125,40.59646539,11,424,0.580311262,0.982310751,4.02361298,0.352316229,Below
0.159,5100,R7,679,345,334,1.032934132,0.133451258,1.55733945,0.130896226,34.52724595,12,424,0.589316372,0.980060006,3.949200361,0.355132211,Below
0.159,5100,R8,516,267,249,1.072289157,0.127817686,1.365079365,0.125340599,27.49612403,11,367,0.569595602,0.97572473,3.761641205,0.257718803,Below
0.012,5200,R1,682,362,320,1.13125,0.12275018,1.435789474,0.097192225,40.07624633,12,463,0.583685193,0.976514181,3.869737712,0.292751947,Below
0.012,5200,R2,763,408,355,1.149295775,0.121265099,1.535211268,0.088842975,41.03407602,13,484,0.583525189,0.975366451,3.875118285,0.349091118,Below
0.012,5200,R3,528,258,270,0.955555556,0.135038363,1.316708229,0.117647059,34.59469697,10,391,0.554543963,0.972557356,3.796541672,0.219456403,Below
0.012,5200,R4,861,469,392,1.2,0.15,1.71,0.11,51.59,12,491,0.62,0.98,4.07,0.46,Below
0.012,5200,R5,782,427,355,1.202816901,0.168063615,1.801843318,0.113475177,52.34015345,11,423,0.627297028,0.977912751,4.01953989,0.481742775,Below
0.012,5200,R6,631,345,286,1.206293706,0.117636092,1.374727669,0.098434004,35.03803487,12,447,0.573694704,0.978006961,3.834585801,0.264580733,Below
0.012,5200,R7,761,385,376,1.02393617,0.131547105,1.661572052,0.143820225,35.39290407,13,445,0.607131802,0.980411294,3.971152208,0.41228681,Below
0.012,5200,R8,580,325,255,1.274509804,0.158038147,1.538461538,0.136239782,38.65517241,10,367,0.596682292,0.978690738,3.902233385,0.367941292,Below
