ID,Elevation,Veg.mass,PLFA,Time,Act-ele,Longtitude,Latitude,Aspect,Slope,Distance_between_origin,Distance_origin,Direction_origin,X,Y,pH,TP,SWC,TOC,TN,C/N,DOC,DON,DOC/DON,NDVI,GET,ET,GTmin,GTmax,GT,GP,MOI,Tmin,Tmax,DTR,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,ET/bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,PS,PLFA-bacteria,PLFA-fungus,PLFA-actinomyces,G+,G-,G+/G-,Chao1,Shannon
HDX001,4300,29,13.90423725,2013,4309,91.03267027,30.46915,261.8699951,3.3722899,4300m_10km_W,10000,W,-10000,0,5.4,0.478,0.076,26.042,2.777,9.379,98.446,35.044,2.809211277,0.176163852,138.4996429,187.2719714,4.058005857,15.99140571,10.02537887,291.2715689,0.194756394,-4.357975,10.04793471,14.40590971,2.844979873,14.40590988,41.67266198,722.9933377,17.89121605,-16.72668044,34.61789649,11.23809638,-5.637530945,11.3869178,-6.2291034,313.4717113,0.597412668,114.1511421,0.011428571,141.3531893,240.2137124,1.154285702,228.4708552,1.782857092,141.353,,,,,,,,
HDX002,4300,29,13.90423725,2013,4331,91.05691844,30.49759,168.6900024,2.36199,4300m_1km_W,1000,W,-1000,0,6.3,0.383,0.071,19.411,2.125,9.136,46.63,7.37,6.327001357,0.151924461,138.4996429,187.2719714,4.058005857,15.99140571,10.02537887,291.2715689,0.194756394,-4.357975,10.04793471,14.40590971,2.844979873,14.40590988,41.67266198,722.9933377,17.89121605,-16.72668044,34.61789649,11.23809638,-5.637530945,11.3869178,-6.2291034,313.4717113,0.597412668,114.1511421,0.011428571,141.3531893,240.2137124,1.154285702,228.4708552,1.782857092,141.353,,,,,,,,
HDX003,4300,29,11.35939819,2013,4310,91.07888531,30.49601,3.3664601,4.05866,4300m_100m_W,100,W,-100,0,6.15,0.442,0.085,18.362,2.019,9.095,77.26,14.417,5.358951238,0.155100971,138.4996429,187.2719714,4.058005857,15.99140571,10.02537887,291.2715689,0.194756394,-4.357975,10.04793471,14.40590971,2.844979873,14.40590988,41.67266198,722.9933377,17.89121605,-16.72668044,34.61789649,11.23809638,-5.637530945,11.3869178,-6.2291034,313.4717113,0.597412668,114.1511421,0.011428571,141.3531893,240.2137124,1.154285702,228.4708552,1.782857092,141.353,10.1625501,0.187794887,1.0090532,3.460517868,4.853508082,0.71299312,6072.455521,10.9872
HDX004,4300,29,13.90423725,2013,4310,91.0792595,30.49626,12.5288,4.3933802,4300m_10m_W,10,W,-10,0,6.82,0.255,0.044,7.583,0.972,7.8,135.968,6.907,19.68553641,0.171826422,138.4996429,187.2719714,4.058005857,15.99140571,10.02537887,291.2715689,0.194756394,-4.357975,10.04793471,14.40590971,2.844979873,14.40590988,41.67266198,722.9933377,17.89121605,-16.72668044,34.61789649,11.23809638,-5.637530945,11.3869178,-6.2291034,313.4717113,0.597412668,114.1511421,0.011428571,141.3531893,240.2137124,1.154285702,228.4708552,1.782857092,141.353,,,,,,,,
HDX005,4300,29,13.90423725,2013,4310,91.07934372,30.49635,12.5288,4.3933802,4300m_1m_W,1,W,-1,0,6.905,0.364,0.049,13.587,1.445,9.4,137.156,8.744,15.68572736,0.171826422,138.4996429,187.2719714,4.058005857,15.99140571,10.02537887,291.2715689,0.194756394,-4.357975,10.04793471,14.40590971,2.844979873,14.40590988,41.67266198,722.9933377,17.89121605,-16.72668044,34.61789649,11.23809638,-5.637530945,11.3869178,-6.2291034,313.4717113,0.597412668,114.1511421,0.011428571,141.3531893,240.2137124,1.154285702,228.4708552,1.782857092,141.353,,,,,,,,
HDX006,4300,29,13.90423725,2013,4323,91.07764226,30.49882,357.7090149,11.7774,4300m_10m_U,10,U,0,10,6.91,0.241,0.032,3.68,0.581,6.333,87.228,5.396,16.16530764,0.164301202,138.4996429,187.2719714,4.058005857,15.99140571,10.02537887,291.2715689,0.194756394,-4.357975,10.04793471,14.40590971,2.844979873,14.40590988,41.67266198,722.9933377,17.89121605,-16.72668044,34.61789649,11.23809638,-5.637530945,11.3869178,-6.2291034,313.4717113,0.597412668,114.1511421,0.011428571,141.3531893,240.2137124,1.154285702,228.4708552,1.782857092,141.353,,,,,,,,
HDX007,4300,34,13.90423725,2013,4311,91.07897804,30.49676,90,2.3859401,4300m_1m_U,1,U,0,1,6.975,0.368,0.068,4.821,0.675,7.143,5.584,9.429,0.592215505,0.183406681,138.4996429,187.2719714,4.058005857,15.99140571,10.02537887,291.2715689,0.194756394,-4.357975,10.04793471,14.40590971,2.844979873,14.40590988,41.67266198,722.9933377,17.89121605,-16.72668044,34.61789649,11.23809638,-5.637530945,11.3869178,-6.2291034,313.4717113,0.597412668,114.1511421,0.011428571,141.3531893,240.2137124,1.154285702,228.4708552,1.782857092,141.353,,,,,,,,
HDX008,4300,22,8.142616645,2013,4311,91.07935396,30.49636,12.5288,4.3933802,4300m ,0,O,0,0,6.94,0.322,0.066,11.537,1.25,9.231,66.497,5.828,11.40991764,0.171826422,138.4996429,187.2719714,4.058005857,15.99140571,10.02537887,291.2715689,0.194756394,-4.357975,10.04793471,14.40590971,2.844979873,14.40590988,41.67266198,722.9933377,17.89121605,-16.72668044,34.61789649,11.23809638,-5.637530945,11.3869178,-6.2291034,313.4717113,0.597412668,114.1511421,0.011428571,141.3531893,240.2137124,1.154285702,228.4708552,1.782857092,141.353,6.732050588,0.280226454,1.130339603,2.294503975,3.06065299,0.749677922,5667.867257,11.16209
HDX009,4300,31,13.90423725,2013,4309,91.08046074,30.4959,350.5379944,11.4617996,4300m_1m_B,1,B,0,-1,6.895,0.346,0.09,11.778,1.352,8.714,85.028,10.456,8.131981637,0.154612526,138.4996429,187.2719714,4.058005857,15.99140571,10.02537887,291.2715689,0.194756394,-4.357975,10.04793471,14.40590971,2.844979873,14.40590988,41.67266198,722.9933377,17.89121605,-16.72668044,34.61789649,11.23809638,-5.637530945,11.3869178,-6.2291034,313.4717113,0.597412668,114.1511421,0.011428571,141.3531893,240.2137124,1.154285702,228.4708552,1.782857092,141.353,,,,,,,,
HDX010,4300,29,13.90423725,2013,4297,91.08703403,30.49296,180,1.81752,4300m_10m_B,10,B,0,-10,6.95,0.371,0.034,8.962,1.072,8.364,105.304,9.14,11.52122538,0.148497343,138.4996429,187.2719714,4.058005857,15.99140571,10.02537887,291.2715689,0.194756394,-4.357975,10.04793471,14.40590971,2.844979873,14.40590988,41.67266198,722.9933377,17.89121605,-16.72668044,34.61789649,11.23809638,-5.637530945,11.3869178,-6.2291034,313.4717113,0.597412668,114.1511421,0.011428571,141.3531893,240.2137124,1.154285702,228.4708552,1.782857092,141.353,,,,,,,,
