"","gp","slope","Ine","p","r2","sig"
"1","I",0.103813642457175,0.314832558878493,0.678340955220834,-0.246336581603956,"F"
"2","J",0.587337649684991,-0.230594355061549,0.0497440321338398,0.69629296786447,"T"
"3","M",0.0509614156852702,0.043599164481089,0.0425169537883529,0.72504607360841,"T"
"4","N",-0.000115974143965766,0.0784239591654876,0.998880936435498,-0.33333230335492,"F"
"5","AE",2.1895881465567,0.482368366334696,0.41759677256926,-0.031145294821177,"F"
"6","AF",-7.00712723399263,6.94287605280852,0.0108860988498317,0.88606725543913,"T"
"7","A",0.149802004696454,0.438639217775096,0.651609881051933,-0.230867099967075,"F"
"8","B",-1.51677089557796,1.65983794721154,0.00574404737631525,0.925141830693927,"T"
"9","E",0.94166952853399,0.170001281642787,0.0668856793511976,0.634281193201774,"F"
"10","F",0.818745583626249,-0.355353844566289,0.273734802358719,0.164227583445258,"F"
"11","R",0.0941067868091072,0.869662164882117,0.931160270219542,-0.329431931425573,"F"
"12","S",-7.58375020274496,7.59593242277926,0.022519019983036,0.817113590778394,"T"
