"","gp","slope","Ine","p","r2","sig"
"1","A",0.388595369844051,-0.0847421194303155,1.88004573680651e-07,0.467555335024846,"T"
"2","B",0.0585774551488653,0.299032789547834,0.163215094457225,0.0201023392920829,"F"
"3","C",-0.0335887473023191,0.111349543451036,0.0496906361012392,0.0586708405598658,"T"
"4","D",0.0413599845771844,0.0538756930792823,7.28191082328341e-11,0.581947392940201,"T"
"5","E",0.553423912858015,0.1052925598024,2.1829359366132e-18,0.795658721774233,"T"
"6","F",0.327057518149802,0.37434908555335,1.42959021499618e-09,0.527603863784179,"T"
"7","G",-0.750359289547784,0.910668445809444,4.32801310473901e-13,0.710494260356299,"T"
"8","H",0.163950108704518,0.339536653859049,0.0143818379213355,0.100106539336776,"T"
"9","I",0.494861754963435,-0.11629338457984,0.451736900771866,-0.068288871932187,"F"
"10","J",0.661826571890982,0.194899134688276,0.0387343088754396,0.740877169185421,"T"
"11","K",0.344429375109099,0.305358028172026,2.096864480509e-08,0.472746049075717,"T"
"12","L",0.101467871783054,0.480615053781021,0.170105009924102,0.018819230174945,"F"
