Elevation,pre.AI,gp,value,variable
4300,0.982,A,0.327064961,Total.coh
4300,0.982,A,0.34689879,Total.coh
4300,0.982,A,0.338848853,Total.coh
4300,0.982,A,0.381056956,Total.coh
4300,0.982,A,0.35877037,Total.coh
4300,0.982,A,0.370614857,Total.coh
4300,0.982,A,0.371548145,Total.coh
4300,0.982,A,0.381028643,Total.coh
4300,0.982,A,0.361349876,Total.coh
4300,0.982,A,0.33441462,Total.coh
4300,0.982,A,0.376744282,Total.coh
4300,0.982,A,0.396752877,Total.coh
4300,0.982,A,0.386080233,Total.coh
4300,0.982,A,0.342350774,Total.coh
4300,0.982,A,0.315264623,Total.coh
4400,0.936,A,0.329898552,Total.coh
4400,0.936,A,0.324002242,Total.coh
4400,0.936,A,0.340601406,Total.coh
4400,0.936,A,0.335667367,Total.coh
4400,0.936,A,0.340738166,Total.coh
4400,0.936,A,0.339555709,Total.coh
4400,0.936,A,0.343610632,Total.coh
4400,0.936,A,0.352051334,Total.coh
4400,0.936,A,0.340910702,Total.coh
4400,0.936,A,0.348551058,Total.coh
4400,0.936,A,0.349950371,Total.coh
4400,0.936,A,0.344240174,Total.coh
4400,0.936,A,0.33884304,Total.coh
4400,0.936,A,0.331037032,Total.coh
4400,0.936,A,0.320139193,Total.coh
4500,0.865,A,0.349463567,Total.coh
4500,0.865,A,0.337600242,Total.coh
4500,0.865,A,0.326833871,Total.coh
4500,0.865,A,0.316702061,Total.coh
4500,0.865,A,0.326605494,Total.coh
4500,0.865,A,0.324290859,Total.coh
4500,0.865,A,0.325600406,Total.coh
4500,0.865,A,0.322690569,Total.coh
4500,0.865,A,0.328557146,Total.coh
4500,0.865,A,0.321965067,Total.coh
4500,0.865,A,0.32505103,Total.coh
4500,0.865,A,0.327737554,Total.coh
4500,0.865,A,0.315269137,Total.coh
4500,0.865,A,0.369782959,Total.coh
4500,0.865,A,0.322107007,Total.coh
4600,0.784,A,0.375271279,Total.coh
4600,0.784,A,0.327628786,Total.coh
4600,0.784,A,0.325883514,Total.coh
4600,0.784,A,0.32475952,Total.coh
4600,0.784,A,0.33248469,Total.coh
4600,0.784,A,0.323793515,Total.coh
4600,0.784,A,0.329001696,Total.coh
4600,0.784,A,0.332725048,Total.coh
4600,0.784,A,0.335445955,Total.coh
4600,0.784,A,0.315057791,Total.coh
4600,0.784,A,0.327779747,Total.coh
4600,0.784,A,0.325624312,Total.coh
4600,0.784,A,0.321914265,Total.coh
4600,0.784,A,0.335911213,Total.coh
4600,0.784,A,0.316990763,Total.coh
4700,0.694,B,0.331447949,Total.coh
4700,0.694,B,0.319323928,Total.coh
4700,0.694,B,0.330685192,Total.coh
4700,0.694,B,0.32701536,Total.coh
4700,0.694,B,0.315685356,Total.coh
4700,0.694,B,0.316048052,Total.coh
4700,0.694,B,0.323348519,Total.coh
4700,0.694,B,0.321036088,Total.coh
4700,0.694,B,0.327510444,Total.coh
4700,0.694,B,0.318336782,Total.coh
4700,0.694,B,0.320936662,Total.coh
4700,0.694,B,0.322553063,Total.coh
4700,0.694,B,0.325310417,Total.coh
4700,0.694,B,0.333803242,Total.coh
4700,0.694,B,0.325761786,Total.coh
4800,0.586,B,0.318683443,Total.coh
4800,0.586,B,0.318315988,Total.coh
4800,0.586,B,0.320410465,Total.coh
4800,0.586,B,0.332301763,Total.coh
4800,0.586,B,0.316946535,Total.coh
4800,0.586,B,0.310289334,Total.coh
4800,0.586,B,0.316927448,Total.coh
4800,0.586,B,0.325746309,Total.coh
4800,0.586,B,0.314489243,Total.coh
4800,0.586,B,0.323647454,Total.coh
4800,0.586,B,0.318622477,Total.coh
4800,0.586,B,0.320578801,Total.coh
4800,0.586,B,0.347192651,Total.coh
4800,0.586,B,0.32779756,Total.coh
4800,0.586,B,0.326469667,Total.coh
4900,0.452,B,0.323229928,Total.coh
4900,0.452,B,0.326862368,Total.coh
4900,0.452,B,0.328649129,Total.coh
4900,0.452,B,0.342147608,Total.coh
4900,0.452,B,0.359023187,Total.coh
4900,0.452,B,0.368829389,Total.coh
4900,0.452,B,0.332333634,Total.coh
4900,0.452,B,0.332371347,Total.coh
4900,0.452,B,0.321061434,Total.coh
4900,0.452,B,0.320920228,Total.coh
4900,0.452,B,0.329819845,Total.coh
4900,0.452,B,0.323829285,Total.coh
4900,0.452,B,0.327207357,Total.coh
4900,0.452,B,0.314457654,Total.coh
4900,0.452,B,0.332017719,Total.coh
5000,0.308,B,0.34205273,Total.coh
5000,0.308,B,0.331194262,Total.coh
5000,0.308,B,0.345196205,Total.coh
5000,0.308,B,0.344112888,Total.coh
5000,0.308,B,0.346676343,Total.coh
5000,0.308,B,0.349535923,Total.coh
5000,0.308,B,0.315658804,Total.coh
5000,0.308,B,0.334678126,Total.coh
5000,0.308,B,0.346233296,Total.coh
5000,0.308,B,0.346418002,Total.coh
5000,0.308,B,0.343255023,Total.coh
5000,0.308,B,0.343660896,Total.coh
5000,0.308,B,0.33153668,Total.coh
5000,0.308,B,0.368280941,Total.coh
5100,0.159,B,0.329357198,Total.coh
5100,0.159,B,0.321353446,Total.coh
5100,0.159,B,0.326426486,Total.coh
5100,0.159,B,0.327516695,Total.coh
5100,0.159,B,0.34080465,Total.coh
5100,0.159,B,0.326607364,Total.coh
5100,0.159,B,0.342377218,Total.coh
5100,0.159,B,0.341506815,Total.coh
5100,0.159,B,0.340298895,Total.coh
5100,0.159,B,0.337865976,Total.coh
5100,0.159,B,0.336058604,Total.coh
5100,0.159,B,0.33274722,Total.coh
5100,0.159,B,0.331782777,Total.coh
5200,0.012,B,0.333345606,Total.coh
5200,0.012,B,0.34207796,Total.coh
5200,0.012,B,0.344537772,Total.coh
5200,0.012,B,0.33860634,Total.coh
5200,0.012,B,0.344617144,Total.coh
5200,0.012,B,0.353408967,Total.coh
5200,0.012,B,0.334804128,Total.coh
5200,0.012,B,0.338747879,Total.coh
5200,0.012,B,0.332670519,Total.coh
