,Elevation,pre.AI,Micro.mass,Micro.rich,Micro.net,Group
1,4300,0.982,13.90423725,3044,0.327064961,Above
2,4300,0.982,13.90423725,3111,0.34689879,Above
3,4300,0.982,11.35939819,3048,0.338848853,Above
4,4300,0.982,13.90423725,3145,0.381056956,Above
5,4300,0.982,13.90423725,3872,0.35877037,Above
6,4300,0.982,13.90423725,2969,0.370614857,Above
7,4300,0.982,13.90423725,3132,0.371548145,Above
8,4300,0.982,8.142616645,2909,0.381028643,Above
9,4300,0.982,13.90423725,3171,0.361349876,Above
10,4300,0.982,13.90423725,2524,0.33441462,Above
11,4300,0.982,13.90423725,3254,0.376744282,Above
12,4300,0.982,22.21069692,2828,0.396752877,Above
13,4300,0.982,13.90423725,2988,0.386080233,Above
14,4300,0.982,13.90423725,3291,0.342350774,Above
15,4300,0.982,13.90423725,2809,0.315264623,Above
16,4400,0.936,13.45941505,3125,0.329898552,Above
17,4400,0.936,13.45941505,3390,0.324002242,Above
18,4400,0.936,13.45941505,2897,0.340601406,Above
19,4400,0.936,13.45941505,3176,0.335667367,Above
20,4400,0.936,13.45941505,2953,0.340738166,Above
21,4400,0.936,13.45941505,3302,0.339555709,Above
22,4400,0.936,20.79979787,3042,0.343610632,Above
23,4400,0.936,9.789223641,3079,0.352051334,Above
24,4400,0.936,13.45941505,3054,0.340910702,Above
25,4400,0.936,13.45941505,3029,0.348551058,Above
26,4400,0.936,9.789223641,3124,0.349950371,Above
27,4400,0.936,13.45941505,3300,0.344240174,Above
28,4400,0.936,13.45941505,3059,0.33884304,Above
29,4400,0.936,13.45941505,3429,0.331037032,Above
30,4400,0.936,13.45941505,3242,0.320139193,Above
31,4500,0.865,17.90569903,3535,0.349463567,Above
32,4500,0.865,17.90569903,3195,0.337600242,Above
33,4500,0.865,17.90569903,3514,0.326833871,Above
34,4500,0.865,16.13921562,3289,0.316702061,Above
35,4500,0.865,17.90569903,3437,0.326605494,Above
36,4500,0.865,17.90569903,3427,0.324290859,Above
37,4500,0.865,17.90569903,3085,0.325600406,Above
38,4500,0.865,17.90569903,3466,0.322690569,Above
39,4500,0.865,15.52856737,3597,0.328557146,Above
40,4500,0.865,22.04931409,3484,0.321965067,Above
41,4500,0.865,17.90569903,3389,0.32505103,Above
42,4500,0.865,17.90569903,3895,0.327737554,Above
43,4500,0.865,17.90569903,3377,0.315269137,Above
44,4500,0.865,17.90569903,3194,0.369782959,Above
45,4500,0.865,17.90569903,3362,0.322107007,Above
46,4600,0.784,23.33190674,3230,0.375271279,Above
47,4600,0.784,23.33190674,2558,0.327628786,Above
48,4600,0.784,23.33190674,3344,0.325883514,Above
49,4600,0.784,21.83727138,3210,0.32475952,Above
50,4600,0.784,23.33190674,3766,0.33248469,Above
51,4600,0.784,23.33190674,3555,0.323793515,Above
52,4600,0.784,23.33190674,2948,0.329001696,Above
53,4600,0.784,41.11788978,3518,0.332725048,Above
54,4600,0.784,23.33190674,3223,0.335445955,Above
55,4600,0.784,23.33190674,3230,0.315057791,Above
56,4600,0.784,23.33190674,2874,0.327779747,Above
57,4600,0.784,7.040559063,3114,0.325624312,Above
58,4600,0.784,23.33190674,3440,0.321914265,Above
59,4600,0.784,23.33190674,3314,0.335911213,Above
60,4600,0.784,23.33190674,3320,0.316990763,Above
61,4700,0.694,59.40535147,3025,0.331447949,Above
62,4700,0.694,59.40535147,2639,0.319323928,Above
63,4700,0.694,58.06338985,3615,0.330685192,Above
64,4700,0.694,51.2183167,3109,0.32701536,Above
65,4700,0.694,59.40535147,3188,0.315685356,Above
66,4700,0.694,59.40535147,3075,0.316048052,Above
67,4700,0.694,59.40535147,3243,0.323348519,Above
68,4700,0.694,68.93434785,3393,0.321036088,Above
69,4700,0.694,59.40535147,3051,0.327510444,Above
70,4700,0.694,59.40535147,3191,0.318336782,Above
71,4700,0.694,59.40535147,3093,0.320936662,Above
72,4700,0.694,59.40535147,3196,0.322553063,Above
73,4700,0.694,59.40535147,3646,0.325310417,Above
74,4700,0.694,59.40535147,2636,0.333803242,Above
75,4700,0.694,59.40535147,3397,0.325761786,Above
76,4800,0.586,28.7936591,2914,0.318683443,Below
77,4800,0.586,28.7936591,3122,0.318315988,Below
78,4800,0.586,28.7936591,3114,0.320410465,Below
79,4800,0.586,28.7936591,3128,0.332301763,Below
80,4800,0.586,22.53112668,3289,0.316946535,Below
81,4800,0.586,28.7936591,2875,0.310289334,Below
82,4800,0.586,37.24739138,3182,0.316927448,Below
83,4800,0.586,28.7936591,3255,0.325746309,Below
84,4800,0.586,28.7936591,3283,0.314489243,Below
85,4800,0.586,26.60245924,3065,0.323647454,Below
86,4800,0.586,28.7936591,3086,0.318622477,Below
87,4800,0.586,28.7936591,3039,0.320578801,Below
88,4800,0.586,28.7936591,3391,0.347192651,Below
89,4800,0.586,28.7936591,3404,0.32779756,Below
90,4800,0.586,28.7936591,3209,0.326469667,Below
91,4900,0.452,72.90304631,3026,0.323229928,Below
92,4900,0.452,72.90304631,3570,0.326862368,Below
93,4900,0.452,72.90304631,3385,0.328649129,Below
94,4900,0.452,72.90304631,3225,0.342147608,Below
95,4900,0.452,72.90304631,3900,0.359023187,Below
