ID,sp1,sp2,sp3,sp4,sp5,sp6,sp7,sp8,sp9,sp10,sp11,sp12,sp13,sp14,sp15,sp16,sp17,sp18,sp19,sp20,sp21,sp22,sp23,sp24,sp25,sp26,sp27,sp28,sp29,sp30,sp31,sp32,sp33,sp34,sp35,sp36,sp37,sp38,sp39,sp40,sp41,sp42,sp43,sp44,sp45
DH01,201,55,0,107,61,0,0,0,0,0,0,0,0,18,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,1,1,0,0,0,0,0,0
DH02,92,60,0,46,31,0,0,0,0,0,0,0,0,13,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,2,0,0,0,0,0,0
DH03,76,20,3,185,18,0,0,0,0,0,0,0,0,41,0,0,58,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,1,0,0,0,0,0,0,0
DH04,30,58,2,219,162,0,0,0,0,0,0,0,0,11,0,0,26,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,2,0,0,0,0,0,0
DH05,135,135,6,201,14,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0
DH06,41,152,0,126,41,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
DH07,73,126,0,6,0,0,0,0,0,0,0,0,0,2,0,0,144,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,0,0,0,0,0
DH08,19,82,1,35,13,0,0,0,0,0,0,0,0,1,0,0,131,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0
DH09,98,186,7,67,0,2,0,0,0,0,0,0,0,45,0,0,93,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,0,0,0,0,0,0
DH10,55,87,5,295,93,0,0,0,0,0,0,0,0,6,0,0,88,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,0,0,0,0,0,0
DH11,0,20,0,176,14,0,0,0,0,0,0,0,0,68,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,27,0,0,0,0,0,0,0,0
DH12,0,0,6,510,0,0,0,0,0,0,0,0,0,127,0,0,15,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,9,0,0,0,0,0,0,0,0
DH13,0,0,0,349,0,0,0,0,0,0,0,0,0,54,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DH14,4,0,0,6,47,0,0,0,0,0,0,0,0,0,0,15,2,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
DH15,57,6,4,94,700,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
DH16,0,0,2,170,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0
