Ele,pre.AI,Plant.rich.CV,Plant.rich.Asy,Plant.cov
4300,0.982,0.37254902,1.4,0.365
4400,0.936,0.20852789,1.32421094,0.42305
4400,0.936,0.25227238,0.94345466,0.42305
4400,0.936,0.26865845,0.88016796,0.42305
4400,0.936,0.31430417,0.84543295,0.42305
4500,0.865,0.26451613,1.09625081,0.52978333
4500,0.865,0.31119709,1.02390696,0.52978333
4500,0.865,0.32572044,1.05465405,0.52978333
4500,0.865,0.35317752,1.36557903,0.52978333
4600,0.784,0.24379595,1.9632552,0.46385
4600,0.784,0.23559532,1.25207945,0.46385
4600,0.784,0.22227173,0.9173177,0.46385
4600,0.784,0.23120666,0.69364152,0.46385
4700,0.694,0.17031486,1.62842793,0.47044615
4700,0.694,0.17437821,1.79991044,0.47044615
4700,0.694,0.16408439,1.4128507,0.47044615
4700,0.694,0.16847848,1.59802994,0.47044615
4800,0.586,0.29853991,0.81150818,0.51300769
4800,0.586,0.31272568,0.84364502,0.51300769
4800,0.586,0.32827851,0.85028399,0.51300769
4800,0.586,0.33564588,0.81127219,0.51300769
4900,0.452,0.46928556,1.98916093,0.5949
4900,0.452,0.46966068,1.6286149,0.5949
4900,0.452,0.45099833,1.27567086,0.5949
4900,0.452,0.43577216,1.0472167,0.5949
5000,0.308,0.41756365,1.51529886,0.72989
5000,0.308,0.39190465,1.39401723,0.72989
5000,0.308,0.3602895,1.22270496,0.72989
5000,0.308,0.34494492,1.08421638,0.72989
5100,0.159,0.21136185,0.70712167,0.671753846
5100,0.159,0.19570839,0.68480987,0.671753846
5100,0.159,0.21050078,0.65074517,0.671753846
5200,0.012,0.402248023,0.741485311,0.363723077
5200,0.012,0.372329869,0.7444352,0.363723077
5200,0.012,0.376669865,0.660734343,0.363723077
5200,0.012,0.336307133,0.655219383,0.363723077
