Elevation,pre.AI,Plant.Rich.Asy,Micro.Rich.Asy,Soil.PCA1.Asy,EF.Asy
5200,0.012,0.741485311,1.088851468,0.748784612,0.658854329
5200,0.012,0.7444352,1.073885195,0.476756387,0.447030891
5200,0.012,0.660734343,0.996587281,0.685240996,0.559080301
5200,0.012,0.655219383,1.099562047,0.509252492,0.467020487
5100,0.159,0.637708601,0.822830786,1.265812607,0.931067818
5100,0.159,0.712356245,0.883455199,1.194515668,0.908602209
5100,0.159,0.771300167,0.900155538,1.247183928,0.888358903
5100,0.159,0.67340411,0.841445145,1.122979016,0.876996577
5100,0.159,0.703725046,0.918455371,1.145019934,0.837854613
5100,0.159,0.709896209,0.820699318,1.077842323,0.826771694
5100,0.159,0.6522141,0.845267225,1.006933419,0.777102591
5100,0.159,0.675972844,0.9435817,1.045678506,0.791543675
5100,0.159,0.59637416,0.773363465,1.052919543,0.934983933
5100,0.159,0.634885026,0.907250782,1.061386821,0.867787729
5100,0.159,0.695748633,0.905227363,1.115088463,0.850420504
5000,0.308,1.403958332,0.917509695,1.018677722,0.685126201
5000,0.308,1.570327836,0.948303085,1.036506109,0.770042534
5000,0.308,1.550994801,0.918661987,1.047449338,0.823659437
5000,0.308,1.525800949,0.969429527,1.0579295,0.856925759
5000,0.308,1.525412406,1.01377158,1.073394404,0.897573238
5000,0.308,1.472242579,1.049175232,1.073963698,0.924069786
5000,0.308,1.412237854,1.112113212,1.074274256,0.941615774
5000,0.308,1.389940225,1.164416794,1.074072731,0.965789765
5000,0.308,1.367812782,1.192346374,1.06751799,0.967521527
5000,0.308,1.327852708,1.211097683,1.078116349,0.965574306
5000,0.308,1.272713468,1.224337712,1.089382622,0.971187602
5000,0.308,1.259776907,1.296769567,1.096007386,0.994946024
5000,0.308,1.23161101,1.367205387,1.091386709,0.998190225
5000,0.308,1.181680731,1.392060582,1.091912182,1.000396208
5000,0.308,1.167742663,1.367531804,1.088068248,1.007569803
5000,0.308,1.13632414,1.427244641,1.103143574,0.993636375
5000,0.308,1.099860023,1.562097501,1.156855563,1.004519885
5000,0.308,1.094426874,1.628315216,1.177107763,1.059773202
5000,0.308,1.047112795,1.637983463,1.153648835,1.097103524
5000,0.308,1.095316399,1.579402473,1.179510996,1.156915111
5000,0.308,1.032258065,1.456935885,1.163164943,1.198920768
5000,0.308,1.293590645,1.36883531,1.105893867,1.24046374
4900,0.452,2.254106876,0.919519268,1.066636768,0.986732011
4900,0.452,2.068119503,0.979484885,1.190432805,1.112404532
4900,0.452,1.943148188,1.06071629,1.278430867,1.179701431
4900,0.452,1.870662997,1.107197197,1.306543616,1.191349008
4900,0.452,1.809767071,1.130191737,1.305569633,1.175587131
4900,0.452,1.754163593,1.134332069,1.308739257,1.156166828
4900,0.452,1.700735258,1.121686183,1.307900579,1.142522092
4900,0.452,1.626190767,1.113361935,1.33173598,1.13169446
4900,0.452,1.569357483,1.094634406,1.335864031,1.11908786
4900,0.452,1.492627385,1.070571902,1.354356575,1.111644349
4900,0.452,1.42079363,1.048679368,1.374004351,1.10286234
4900,0.452,1.366816153,1.029161868,1.367519836,1.083798271
4900,0.452,1.300452001,1.013772208,1.384586189,1.077792983
4900,0.452,1.248747139,0.988869362,1.385084779,1.063539665
4900,0.452,1.187329263,0.963709961,1.394162559,1.054637215
4900,0.452,1.129886965,0.940326667,1.407397256,1.044997905
4900,0.452,1.092843727,0.917263427,1.412727545,1.039520995
4900,0.452,1.060333691,0.89796407,1.425782597,1.044217028
4900,0.452,1.042427191,0.857299466,1.388703845,1.026204494
4900,0.452,1.014020206,0.798358351,1.306001077,0.975219993
4900,0.452,0.971582952,0.660189516,1.219968147,0.921771158
4900,0.452,1.102092415,0.632882736,1.249517922,0.915705088
4800,0.586,0.806661184,0.858485338,1.035278084,0.875332917
4800,0.586,0.774275358,0.863569146,1.192031702,0.99662187
4800,0.586,0.817121773,0.869294655,1.279072353,1.061147065
4800,0.586,0.823930434,0.879951454,1.330055543,1.099988444
4800,0.586,0.835552128,0.901992483,1.383712933,1.146066361
4800,0.586,0.840580139,0.927605286,1.410015465,1.191296891
4800,0.586,0.842028811,0.953445551,1.439276265,1.221383085
4800,0.586,0.843920905,0.982891731,1.452184045,1.259780676
4800,0.586,0.845707641,1.011989788,1.468926421,1.295593089
4800,0.586,0.845987609,1.043894488,1.481508258,1.333102601
4800,0.586,0.848900096,1.076016272,1.491604805,1.368478557
4800,0.586,0.848000209,1.10950232,1.510441354,1.408471964
4800,0.586,0.850598813,1.14411435,1.523863349,1.446512608
4800,0.586,0.852281481,1.179273938,1.534385594,1.484577074
4800,0.586,0.851639345,1.218378552,1.562792612,1.532595171
4800,0.586,0.849577182,1.261409301,1.579211225,1.577268974
4800,0.586,0.841881396,1.309972557,1.619939692,1.649348831
4800,0.586,0.829335115,1.362889466,1.650519991,1.71582661
4800,0.586,0.804656442,1.45865766,1.716413866,1.808424907
4800,0.586,0.73091079,1.532082553,1.691117592,1.899284743
4700,0.694,1.639774957,0.873934401,1.023610626,0.731561058
