Elevation,pre.AI,Plant.Rich.CV,Micro.Rich.CV,Soil.PCA1.CV,EF.CV
5200,0.012,0.402248023,0.039994932,0.681832538,0.772827966
5200,0.012,0.372329869,0.038382113,1.286770038,1.585622922
5200,0.012,0.376669865,0.037716551,1.012526308,1.133175423
5200,0.012,0.336307133,0.035384484,1.366724272,1.556882679
5100,0.159,0.19135001,0.067850032,0.97861585,0.621411402
5100,0.159,0.214531029,0.06559135,0.887883242,0.570089612
5100,0.159,0.22820452,0.060418615,0.971051284,0.613574291
5100,0.159,0.193648793,0.064263752,0.860352601,0.552024237
5100,0.159,0.212327402,0.057264645,0.906721457,0.576665029
5100,0.159,0.179429547,0.059910528,0.89166263,0.566699943
5100,0.159,0.197427837,0.058320997,0.854040496,0.541228507
5100,0.159,0.208383869,0.052399593,0.863281412,0.549619118
5100,0.159,0.191212652,0.056277053,0.8486602,0.53347855
5100,0.159,0.212796475,0.049381221,0.902988437,0.560290411
5100,0.159,0.229610135,0.04412466,0.987583382,0.601864843
5000,0.308,0.420787682,0.041300948,0.603538908,0.492891557
5000,0.308,0.425263937,0.044597446,0.58146615,0.486461507
5000,0.308,0.416212186,0.047347953,0.551382737,0.463003493
5000,0.308,0.413818865,0.051169662,0.557465842,0.464778652
5000,0.308,0.411735565,0.054608157,0.572641577,0.474346661
5000,0.308,0.40296768,0.057140703,0.581292169,0.471910508
5000,0.308,0.397753673,0.059571054,0.598964025,0.472137853
5000,0.308,0.393966408,0.061379871,0.615706978,0.47115749
5000,0.308,0.385707157,0.061931341,0.628084855,0.462525405
5000,0.308,0.379128338,0.062576628,0.64117945,0.459856156
5000,0.308,0.37192766,0.063500658,0.651858192,0.4563794
5000,0.308,0.365958389,0.066318323,0.672046171,0.453969176
5000,0.308,0.362297099,0.068416013,0.6949597,0.44955282
5000,0.308,0.357116725,0.069237276,0.712124359,0.448915698
5000,0.308,0.344147646,0.068460547,0.711852894,0.440049451
5000,0.308,0.338468802,0.069378244,0.71753793,0.428285566
5000,0.308,0.343684184,0.074364578,0.752680337,0.437008995
5000,0.308,0.341253365,0.07918293,0.774953802,0.443929064
5000,0.308,0.337013356,0.082340561,0.774160572,0.4334006
5000,0.308,0.336261745,0.08530273,0.785356986,0.441518481
5000,0.308,0.372988063,0.086896218,0.790651846,0.450322077
5000,0.308,0.377069454,0.087988935,0.784979509,0.456704433
4900,0.452,0.457648123,0.063174593,0.372496951,0.54306339
4900,0.452,0.47010133,0.062543085,0.376014344,0.542124659
4900,0.452,0.47290017,0.062033597,0.377252872,0.537411041
4900,0.452,0.472650024,0.06204914,0.379056377,0.532920931
4900,0.452,0.473128133,0.062523637,0.382606377,0.531195942
4900,0.452,0.473014562,0.062934103,0.38760283,0.530604729
4900,0.452,0.471625686,0.062912199,0.391137918,0.528814098
4900,0.452,0.470743875,0.063100817,0.394679689,0.527066284
4900,0.452,0.46806927,0.06283511,0.397030475,0.523537664
4900,0.452,0.464850029,0.062359363,0.397064485,0.518185976
4900,0.452,0.46169147,0.061928029,0.396457033,0.512563689
4900,0.452,0.458720448,0.061535374,0.396773994,0.508230097
4900,0.452,0.453879459,0.061319974,0.398434004,0.505020344
4900,0.452,0.449887666,0.060737064,0.398900905,0.500127414
4900,0.452,0.443930945,0.060105658,0.398240586,0.494244518
4900,0.452,0.437879999,0.059512521,0.397543902,0.488271407
4900,0.452,0.433271087,0.059140139,0.401224382,0.485798002
4900,0.452,0.427478516,0.058648205,0.406236905,0.483734456
4900,0.452,0.425718343,0.058369484,0.413937009,0.482090214
4900,0.452,0.42665683,0.058540388,0.422130764,0.478873029
4900,0.452,0.4291045,0.060994124,0.434853184,0.477744948
4900,0.452,0.472403683,0.062623642,0.446011266,0.455091505
4800,0.586,0.296614723,0.074894024,1.256389643,1.44378456
4800,0.586,0.295178443,0.076002398,1.537925438,1.837694527
4800,0.586,0.299024848,0.075919701,1.807095967,2.375991762
4800,0.586,0.299766371,0.075360661,2.225871235,1.785276382
4800,0.586,0.302115169,0.074877203,1.497771988,1.785276382
4800,0.586,0.305539549,0.074522446,1.497771988,2.854869585
4800,0.586,0.309409937,0.073945399,1.497771988,1.421193375
4800,0.586,0.312953264,0.073517156,1.497771988,1.273351719
4800,0.586,0.316090145,0.073060946,0.194683282,1.785276382
4800,0.586,0.319635489,0.07264748,1.583839423,2.391252636
4800,0.586,0.322219024,0.072163533,1.712808355,0.314759188
4800,0.586,0.326252097,0.071865762,0.246614022,1.785276382
4800,0.586,0.32851057,0.071436578,1.497771988,1.785276382
4800,0.586,0.330815699,0.071086221,2.802835716,2.657086342
4800,0.586,0.333595155,0.070862224,1.497771988,1.785276382
4800,0.586,0.335179624,0.070540995,2.593981096,1.785276382
4800,0.586,0.336519396,0.070516042,1.497771988,1.282780123
4800,0.586,0.33716902,0.070665776,1.497771988,1.785276382
4800,0.586,0.337363195,0.070098723,0.513447692,1.785276382
4800,0.586,0.331998165,0.07521703,1.497771988,1.785276382
4700,0.694,0.175303277,0.102065059,1.619317079,1.369710341
4700,0.694,0.165326437,0.097060724,1.639473266,1.411384038
4700,0.694,0.174445216,0.094618382,1.535791178,1.457085684
4700,0.694,0.174311194,0.097766958,1.847421219,1.64752651
4700,0.694,0.167551399,0.090119998,2.011033183,1.738622836
4700,0.694,0.160617371,0.083713111,1.950063691,1.815069289
4700,0.694,0.174529904,0.090991526,2.192904066,1.924123447
4700,0.694,0.162427059,0.085996019,2.384021792,2.207293353
4700,0.694,0.169313982,0.081319734,2.320824974,2.350152272
4700,0.694,0.169313982,0.079063117,2.773179477,2.401505519
4700,0.694,0.169313982,0.080203679,2.073040214,1.901562689
4700,0.694,0.169313982,0.075427208,2.529412427,2.594716291
4600,0.784,0.246257748,0.078679948,1.837952294,1.592085458
4600,0.784,0.245270873,0.080885636,1.795489861,2.097010844
4600,0.784,0.239859219,0.082785603,2.443579904,1.574102624
4600,0.784,0.237892033,0.084445201,2.335004629,0.974857146
4600,0.784,0.236283788,0.085092695,2.132864806,1.583209862
4600,0.784,0.232610127,0.084166996,2.63932231,1.811642605
4600,0.784,0.227030991,0.082244221,2.552975885,1.546593721
4600,0.784,0.222307966,0.080555305,2.132864806,1.793717322
4600,0.784,0.217476234,0.078186041,2.342025835,1.522350067
4600,0.784,0.212231256,0.075615863,0.484058543,1.427807041
4600,0.784,0.215493188,0.070091584,2.082984871,1.424026264
4600,0.784,0.265895542,0.050703715,2.815253925,1.541828534
4500,0.865,0.24536499,0.061804758,0.658212651,0.524670507
4500,0.865,0.283667271,0.057517492,0.683833528,0.536534194
4500,0.865,0.306875767,0.056963699,0.696097647,0.545342488
4500,0.865,0.315518405,0.057643465,0.711673314,0.555585656
4500,0.865,0.320140106,0.058434991,0.7244211,0.564775268
4500,0.865,0.324331357,0.059162711,0.737561421,0.573694834
4500,0.865,0.332689864,0.059171092,0.741177927,0.579924248
4500,0.865,0.342292827,0.058712521,0.735484866,0.583239507
4500,0.865,0.352138858,0.058064928,0.720609964,0.582277108
4500,0.865,0.365100879,0.057375496,0.70020409,0.576590532
4500,0.865,0.318812032,0.056104352,0.677114355,0.57260952
4400,0.936,0.190969184,0.053554204,0.289884946,0.245759933
4400,0.936,0.226086598,0.056112351,0.339529504,0.301358369
4400,0.936,0.246086307,0.05886554,0.362107364,0.325693011
4400,0.936,0.258458447,0.06233851,0.370362607,0.334782966
4400,0.936,0.264038608,0.066607859,0.368946369,0.333969506
4400,0.936,0.273278288,0.071625234,0.362536228,0.328157432
4400,0.936,0.2830722,0.074507562,0.357044216,0.321589533
4400,0.936,0.3121233,0.070659452,0.362377602,0.323578627
4400,0.936,0.347717016,0.071118491,0.359430741,0.320023415
4400,0.936,0.266869994,0.076573927,0.347276305,0.309242284
4400,0.936,0.275303418,0.082497731,0.333459071,0.296905121
4400,0.936,0.280771953,0.087066055,0.32138456,0.286850592
4400,0.936,0.284625914,0.091508755,0.299061019,0.268667793
4300,0.982,0.37254902,0.081818688,0.341881344,0.244575449
4300,0.982,0.37254902,0.087127419,0.323766581,0.218292368
4300,0.982,0.37254902,0.095555222,0.312048443,0.208415205
4300,0.982,0.37254902,0.103419224,0.305965023,0.210651562
4300,0.982,0.37254902,0.108996081,0.266396536,0.16455696
