,Elevation,pre.AI,variable,value,gp
1,4400,0.936,Total.coh,0.340631836,A
2,4400,0.936,Total.coh,0.275266812,A
3,4400,0.936,Total.coh,0.214097497,A
4,4400,0.936,Total.coh,0.292941593,A
5,4400,0.936,Total.coh,0.322318904,A
6,4400,0.936,Total.coh,0.310582164,A
7,4400,0.936,Total.coh,0.308428641,A
8,4400,0.936,Total.coh,0.28408902,A
9,4400,0.936,Total.coh,0.350543557,A
10,4400,0.936,Total.coh,0.236033645,A
11,4400,0.936,Total.coh,0.20585118,A
12,4400,0.936,Total.coh,0.152156351,A
13,4400,0.936,Total.coh,0.137539806,A
14,4400,0.936,Total.coh,0.146827244,A
15,4500,0.865,Total.coh,0.432136177,A
16,4500,0.865,Total.coh,0.195104394,A
17,4500,0.865,Total.coh,0.455232222,A
18,4500,0.865,Total.coh,0.475829625,A
19,4500,0.865,Total.coh,0.462463047,A
20,4500,0.865,Total.coh,0.467919356,A
21,4500,0.865,Total.coh,0.445096186,A
22,4500,0.865,Total.coh,0.420474659,A
23,4500,0.865,Total.coh,0.423418324,A
24,4500,0.865,Total.coh,0.286979421,A
25,4500,0.865,Total.coh,0.42020838,A
26,4500,0.865,Total.coh,0.390843106,A
27,4500,0.865,Total.coh,0.424167492,A
28,4500,0.865,Total.coh,0.322324251,A
29,4600,0.784,Total.coh,0.390596236,A
30,4600,0.784,Total.coh,0.444223707,A
31,4600,0.784,Total.coh,0.416699083,A
32,4600,0.784,Total.coh,0.474008636,A
33,4600,0.784,Total.coh,0.467889682,A
34,4600,0.784,Total.coh,0.453432261,A
35,4600,0.784,Total.coh,0.437789571,A
36,4600,0.784,Total.coh,0.474801453,A
37,4600,0.784,Total.coh,0.435776309,A
38,4600,0.784,Total.coh,0.465446815,A
39,4600,0.784,Total.coh,0.387498299,A
40,4600,0.784,Total.coh,0.343480144,A
41,4600,0.784,Total.coh,0.476748423,A
42,4600,0.784,Total.coh,0.420173805,A
43,4800,0.586,Total.coh,0.403073435,B
44,4800,0.586,Total.coh,0.309437969,B
45,4800,0.586,Total.coh,0.432166577,B
46,4800,0.586,Total.coh,0.348491627,B
47,4800,0.586,Total.coh,0.390287366,B
48,4800,0.586,Total.coh,0.401616673,B
49,4800,0.586,Total.coh,0.389309071,B
50,4800,0.586,Total.coh,0.370029344,B
51,4800,0.586,Total.coh,0.461334442,B
52,4800,0.586,Total.coh,0.414298527,B
53,4800,0.586,Total.coh,0.439131845,B
54,4800,0.586,Total.coh,0.390700564,B
55,4900,0.452,Total.coh,0.412755481,B
56,4900,0.452,Total.coh,0.437024313,B
57,4900,0.452,Total.coh,0.421174462,B
58,4900,0.452,Total.coh,0.438018366,B
59,4900,0.452,Total.coh,0.455765206,B
60,4900,0.452,Total.coh,0.419023435,B
61,4900,0.452,Total.coh,0.450303356,B
62,4900,0.452,Total.coh,0.31947535,B
63,4900,0.452,Total.coh,0.437624343,B
64,4900,0.452,Total.coh,0.41859446,B
65,4900,0.452,Total.coh,0.415419645,B
66,4900,0.452,Total.coh,0.419873813,B
67,5000,0.308,Total.coh,0.448126122,B
68,5000,0.308,Total.coh,0.465977207,B
69,5000,0.308,Total.coh,0.473376002,B
70,5000,0.308,Total.coh,0.452092114,B
71,5000,0.308,Total.coh,0.440773659,B
72,5000,0.308,Total.coh,0.41643324,B
73,5000,0.308,Total.coh,0.407204542,B
74,5000,0.308,Total.coh,0.425044343,B
75,5000,0.308,Total.coh,0.360536381,B
76,5000,0.308,Total.coh,0.424381404,B
77,5000,0.308,Total.coh,0.486858881,B
78,5000,0.308,Total.coh,0.398527145,B
79,4300,0.982,Total.coh,0.068941804,A
80,4300,0.982,Total.coh,0.040810862,A
81,4300,0.982,Total.coh,0.002801627,A
82,4300,0.982,Total.coh,0.075661909,A
83,4400,0.936,Total.coh,0.299292786,A
84,4400,0.936,Total.coh,0.282348724,A
85,4400,0.936,Total.coh,0.299172272,A
86,4400,0.936,Total.coh,0.14405909,A
87,4500,0.865,Total.coh,0.333675119,A
88,4500,0.865,Total.coh,0.355014418,A
89,4500,0.865,Total.coh,0.381533938,A
90,4500,0.865,Total.coh,0.043456932,A
91,4500,0.865,Total.coh,0.318191891,A
92,4500,0.865,Total.coh,0.277580186,A
93,4500,0.865,Total.coh,0.168330677,A
94,4500,0.865,Total.coh,0.400881109,A
95,4500,0.865,Total.coh,0.288288836,A
96,4500,0.865,Total.coh,0.46366906,A
