,Act.ele,Elevation,pre.AI,bio12,bio1,Aridity.index,GTmin,pre.bio12,pre.bio1,pre.GT
HDX001,4309,4300,0.982861767,313.4717113,2.844979873,1,4.061459091,327.9461611,3.231569308,4.422235487
HDX002,4331,4300,0.972274161,313.4717113,2.844979873,1,4.061459091,334.9706158,3.199748658,4.405597518
HDX003,4310,4300,0.982395627,313.4717113,2.844979873,1,4.061459091,328.268089,3.230232967,4.421574787
HDX004,4310,4300,0.982395627,313.4717113,2.844979873,1,4.061459091,328.268089,3.230232967,4.421574787
HDX005,4310,4300,0.982395627,313.4717113,2.844979873,1,4.061459091,328.268089,3.230232967,4.421574787
HDX006,4323,4300,0.976204813,313.4717113,2.844979873,1,4.061459091,332.4303189,3.211906745,4.412157401
HDX007,4311,4300,0.981928048,313.4717113,2.844979873,1,4.061459091,328.5897659,3.228886144,4.420904984
HDX008,4311,4300,0.981928048,313.4717113,2.844979873,1,4.061459091,328.5897659,3.228886144,4.420904984
HDX009,4309,4300,0.982861767,313.4717113,2.844979873,1,4.061459091,327.9461611,3.231569308,4.422235487
HDX010,4297,4300,0.988343162,313.4717113,2.844979873,1,4.061459091,324.0634573,3.246787882,4.429453932
HDX011,4310,4300,0.982395627,313.4717113,2.844979873,1,4.061459091,328.268089,3.230232967,4.421574787
HDX012,4310,4300,0.982395627,313.4717113,2.844979873,1,4.061459091,328.268089,3.230232967,4.421574787
HDX013,4309,4300,0.982861767,313.4717113,2.844979873,1,4.061459091,327.9461611,3.231569308,4.422235487
HDX014,4305,4300,0.984711931,313.4717113,2.844979873,1,4.061459091,326.6559409,3.236809864,4.424787267
HDX015,4315,4300,0.980043335,313.4717113,2.844979873,1,4.061459091,329.8739646,3.223394042,4.418134756
HDX016,4402,4400,0.93335247,366.9859954,3.369355651,0.929135914,4.662769123,356.8121079,3.062451382,4.321851961
HDX017,4395,4400,0.937512274,366.9859954,3.369355651,0.929135914,4.662769123,354.7149225,3.0783355,4.332147416
HDX018,4397,4400,0.936330956,366.9859954,3.369355651,0.929135914,4.662769123,355.3153728,3.073849586,4.329251367
HDX019,4395,4400,0.937512274,366.9859954,3.369355651,0.929135914,4.662769123,354.7149225,3.0783355,4.332147416
HDX020,4394,4400,0.938100774,366.9859954,3.369355651,0.929135914,4.662769123,354.414321,3.080562735,4.333581787
HDX021,4408,4400,0.929730783,366.9859954,3.369355651,0.929135914,4.662769123,358.5999104,3.048427661,4.312672306
HDX022,4397,4400,0.936330956,366.9859954,3.369355651,0.929135914,4.662769123,355.3153728,3.073849586,4.329251367
HDX023,4396,4400,0.936922335,366.9859954,3.369355651,0.929135914,4.662769123,355.0152731,3.076097783,4.330703943
HDX024,4395,4400,0.937512274,366.9859954,3.369355651,0.929135914,4.662769123,354.7149225,3.0783355,4.332147416
HDX025,4348,4400,0.963615625,366.9859954,3.369355651,0.929135914,4.662769123,340.3154309,3.171685488,4.389723589
HDX026,4396,4400,0.936922335,366.9859954,3.369355651,0.929135914,4.662769123,355.0152731,3.076097783,4.330703943
HDX027,4396,4400,0.936922335,366.9859954,3.369355651,0.929135914,4.662769123,355.0152731,3.076097783,4.330703943
HDX028,4396,4400,0.936922335,366.9859954,3.369355651,0.929135914,4.662769123,355.0152731,3.076097783,4.330703943
HDX029,4398,4400,0.935738138,366.9859954,3.369355651,0.929135914,4.662769123,355.6152216,3.071590907,4.32778969
HDX030,4399,4400,0.935143881,366.9859954,3.369355651,0.929135914,4.662769123,355.9148196,3.069321748,4.326318911
HDX031,4492,4500,0.873585748,385.6737103,2.786205506,0.859763617,4.034956136,382.6807522,2.812476997,4.149751537
HDX032,4508,4500,0.861739834,385.6737103,2.786205506,0.859763617,4.034956136,387.0668611,2.759149132,4.111437399
HDX033,4507,4500,0.862491,385.6737103,2.786205506,0.859763617,4.034956136,386.794611,2.762560732,4.113900298
HDX034,4506,4500,0.863240727,385.6737103,2.786205506,0.859763617,4.034956136,386.52211,2.76596185,4.116354095
HDX035,4504,4500,0.864735861,385.6737103,2.786205506,0.859763617,4.034956136,385.9763554,2.772732644,4.121234382
HDX036,4517,4500,0.854914561,385.6737103,2.786205506,0.859763617,4.034956136,389.5058213,2.727973084,4.08886172
HDX037,4507,4500,0.862491,385.6737103,2.786205506,0.859763617,4.034956136,386.794611,2.762560732,4.113900298
HDX038,4504,4500,0.864735861,385.6737103,2.786205506,0.859763617,4.034956136,385.9763554,2.772732644,4.121234382
HDX039,4503,4500,0.865481269,385.6737103,2.786205506,0.859763617,4.034956136,385.7031017,2.77610232,4.123660873
HDX040,4492,4500,0.873585748,385.6737103,2.786205506,0.859763617,4.034956136,382.6807522,2.812476997,4.149751537
HDX041,4504,4500,0.864735861,385.6737103,2.786205506,0.859763617,4.034956136,385.9763554,2.772732644,4.121234382
HDX042,4505,4500,0.863989014,385.6737103,2.786205506,0.859763617,4.034956136,386.2493582,2.769352488,4.118798789
HDX043,4505,4500,0.863989014,385.6737103,2.786205506,0.859763617,4.034956136,386.2493582,2.769352488,4.118798789
HDX044,4496,4500,0.870658818,385.6737103,2.786205506,0.859763617,4.034956136,383.783301,2.799396577,4.140391451
HDX045,4523,4500,0.8502996,385.6737103,2.786205506,0.859763617,4.034956136,391.1205043,2.706717402,4.073401677
HDX046,4606,4600,0.781142419,410.3279777,2.34127044,0.775447519,3.810697758,412.5302628,2.373968521,3.825919462
HDX047,4604,4600,0.782925459,410.3279777,2.34127044,0.775447519,3.810697758,412.0346877,2.382835536,3.832620152
HDX048,4599,4600,0.787357867,410.3279777,2.34127044,0.775447519,3.810697758,410.7913593,2.404819653,3.849212591
HDX049,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX050,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX051,4610,4600,0.777559066,410.3279777,2.34127044,0.775447519,3.810697758,413.5184021,2.356108719,3.812408858
HDX052,4604,4600,0.782925459,410.3279777,2.34127044,0.775447519,3.810697758,412.0346877,2.382835536,3.832620152
HDX053,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX054,4599,4600,0.787357867,410.3279777,2.34127044,0.775447519,3.810697758,410.7913593,2.404819653,3.849212591
HDX055,4583,4600,0.801299731,410.3279777,2.34127044,0.775447519,3.810697758,406.7705576,2.473408003,3.90077926
HDX056,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX057,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX058,4602,4600,0.784702741,410.3279777,2.34127044,0.775447519,3.810697758,411.538109,2.391660626,3.839284434
HDX059,4590,4600,0.79524551,410.3279777,2.34127044,0.775447519,3.810697758,408.5375616,2.443730755,3.878505556
HDX060,4613,4600,0.774856435,410.3279777,2.34127044,0.775447519,3.810697758,414.2568723,2.342603816,3.802180334
HDX061,4696,4700,0.694945992,435.6035556,1.861290798,0.68375867,3.445138587,433.7924245,1.931561103,3.486706082
HDX062,4694,4700,0.696988147,435.6035556,1.861290798,0.68375867,3.445138587,433.3420111,1.942314716,3.495045135
HDX063,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX064,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX065,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX066,4707,4700,0.683611216,435.6035556,1.861290798,0.68375867,3.445138587,436.2517595,1.871666833,3.440190501
HDX067,4694,4700,0.696988147,435.6035556,1.861290798,0.68375867,3.445138587,433.3420111,1.942314716,3.495045135
HDX068,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX069,4691,4700,0.700040582,435.6035556,1.861290798,0.68375867,3.445138587,432.6645091,1.958366527,3.507485448
HDX070,4683,4700,0.70811707,435.6035556,1.861290798,0.68375867,3.445138587,430.8467977,2.000710188,3.540259128
HDX071,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX072,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX073,4692,4700,0.699024543,435.6035556,1.861290798,0.68375867,3.445138587,432.890594,1.953026404,3.503347779
HDX074,4718,4700,0.672102258,435.6035556,1.861290798,0.68375867,3.445138587,438.6807358,1.81050435,3.392573576
