Elevation,pre.AI,Micro.Rich.CV,Micro.Rich.Asy,Micro.decay, Soil.PCA1.CV , Soil.PCA1.Asy,Soil.decay
4300,0.982,0.081818688,1.787118261,0.026545191,0.33282396,1.42862582,0.193937272
4300,0.982,0.095555222,1.379925899,0.026545191,0.312048443,1.631654298,0.193937272
4300,0.982,0.103419224,1.207914711,0.026545191,0.305965023,1.767029546,0.193937272
4300,0.982,0.108996081,1.071331508,0.026545191,0.266396536,2.054666807,0.193937272
4400,0.936,0.05617737,0.99609164,0.022231492,0.33050727,0.75932361,0.19445915
4400,0.936,0.0668572,1.29064864,0.022231492,0.36728173,0.98355937,0.19445915
4400,0.936,0.07209517,1.42338903,0.022231492,0.35961752,1.17753321,0.19445915
4400,0.936,0.08441162,1.58506252,0.022231492,0.32529524,1.53155137,0.19445915
4500,0.865,0.05876198,1.0319272,0.016367961,0.67938128,1.17247592,0.103820986
4500,0.865,0.05860306,1.161116,0.016367961,0.72870844,1.18996693,0.103820986
4500,0.865,0.05756432,1.30932482,0.016367961,0.70835332,1.20649775,0.103820986
4600,0.784,0.08078373,0.85247119,0.021980214,2.02567402,1.67892197,0.154608057
4600,0.784,0.0845683,0.9092067,0.021980214,2.48716347,1.614944,0.154608057
4600,0.784,0.08032852,0.99568484,0.021980214,2.44750086,1.72416123,0.154608057
4600,0.784,0.06547039,1.0794514,0.021980214,1.79409911,1.63497832,0.154608057
4700,0.694,0.09791472,0.84123759,0.009253759,1.59819384,0.9840643,0.01048008
4700,0.694,0.09053336,0.91333574,0.009253759,1.9361727,0.87997397,0.01048008
4700,0.694,0.08610243,1.0129872,0.009253759,2.29925028,0.8304501,0.01048008
4700,0.694,0.07823133,1.10258107,0.009253759,2.65129595,0.75715477,0.01048008
4800,0.586,0.0754108,0.87465862,0.001940578,1.70682057,1.24403012,0.086247324
4800,0.586,0.07353869,0.98396537,0.001940578,0.88926135,1.45038209,0.086247324
4800,0.586,0.07148286,1.14545709,0.001940578,1.58741936,1.52461754,0.086247324
4800,0.586,0.07140771,1.38500231,0.001940578,1.55371439,1.65144047,0.086247324
4900,0.452,0.06246481,1.03942188,0.001156567,0.37748538,1.22952274,0.050534511
4900,0.452,0.06282832,1.1069173,0.001156567,0.39350308,1.32771928,0.050534511
4900,0.452,0.06085644,0.99741991,0.001156567,0.39772507,1.38545916,0.050534511
4900,0.452,0.05971933,0.79399293,0.001156567,0.42073225,1.33378352,0.050534511
5000,0.308,0.04780483,0.95353517,0.033198187,0.57329904,1.04679141,0.010453967
5000,0.308,0.06051992,1.14582986,0.033198187,0.6130455,1.073589,0.010453967
5000,0.308,0.06755184,1.34585828,0.033198187,0.69339654,1.09331679,0.010453967
5000,0.308,0.08267933,1.53892831,0.033198187,0.77713051,1.15603033,0.010453967
5100,0.159,0.06462,0.86881384,0.008124703,0.94585013,1.2358374,-0.100507542
5100,0.159,0.05993998,0.85646676,0.008124703,0.8781943,1.08819367,-0.100507542
5100,0.159,0.05054563,0.88235583,0.008124703,0.90062836,1.06876833,-0.100507542
5200,0.012,0.039994932,1.088851468,0.009705387,0.681832538,0.748784612,-0.002233928
5200,0.012,0.038382113,1.073885195,0.009705387,1.286770038,0.476756387,-0.002233928
5200,0.012,0.037716551,0.996587281,0.009705387,1.012526308,0.685240996,-0.002233928
5200,0.012,0.035384484,1.099562047,0.009705387,1.366724272,0.509252492,-0.002233928
